Place of interest,Type of place,Place address,Distance from station in mts,BiciMAD station,BiciMAD address
Oficina de Empleo Águeda Díez,Instalaciones accesibles NO municipales,Plaza Agueda Diez 4,1965.36,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Oficina de Tramitación de DNI y Pasaporte (Usera-Villaverde 1),Instalaciones accesibles NO municipales,Paseo Gigantes Y Cabezudos 30,3549.27,235 - Embajadores 191,Calle Sodio nº 1B
Oficina de Tramitación del DNI y Pasaporte (Arganzuela),Instalaciones accesibles NO municipales,Paseo Virgen Del Puerto 47,451.28,236 - Paseo Imperial,Paseo Imperial nº 20
Oficina de Tramitación del DNI y Pasaporte (Centro),Instalaciones accesibles NO municipales,Calle Luna 17,75.41,16 - San Bernardo,Calle San Bernardo nº 22
Oficina de Tramitación del DNI y Pasaporte (Puente de Vallecas),Instalaciones accesibles NO municipales,Calle Sierra Carbonera 35,290.95,227 - Concordia,Calle Arroyo del Olivar nº 6
Oficina de Tramitación del DNI y Pasaporte (Santa Engracia),Instalaciones accesibles NO municipales,Calle Santa Engracia 18,91.42,122 - Santa Engracia 14,Calle Santa Engracia nº 14
Oficina de Tramitación del DNI y Pasaporte (Tetuán),Instalaciones accesibles NO municipales,Calle Santa Valentina 2,245.65,207 - Remonta,Calle Azucenas nº 1
Oficina de Tramitación del DNI y Pasaporte Doce de Octubre,Instalaciones accesibles NO municipales,Calle Doce De Octubre 7,132.92,70 - Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63
Oficina de Tramitación del DNI y Pasaporte Padre Piquer,Instalaciones accesibles NO municipales,Avenida Padre Piquer 18,4753.53,224 - Caramuel,Calle Caramuel nº 51
Oficina de Tramitación del DNI y Pasaporte San Felipe,Instalaciones accesibles NO municipales,Calle San Felipe 7,173.92,207 - Remonta,Calle Azucenas nº 1
Palacio Real de El Pardo,Instalaciones accesibles NO municipales,Calle Manuel Alonso 8,9332.03,261 - Facultad Derecho,Avenida Complutense nº 23
Palacio Real de Madrid,Instalaciones accesibles NO municipales,Calle Bailen,217.4,30 - San Quintín,Calle Pavía nº 6
Palacio de Congresos de Madrid,Instalaciones accesibles NO municipales,Paseo Castellana 99,190.3,153 - General Perón con Poeta Joan Maragall,Avenida del General Perón frente al nº 36
Palacio de Cristal,Instalaciones accesibles NO municipales,Paseo Republica De Cuba 4,523.53,70 - Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63
Palacio de Liria,Instalaciones accesibles NO municipales,Calle Princesa 20,125.14,14 - Ventura Rodríguez,Calle Duque de Liria
Palacio de Velázquez,Instalaciones accesibles NO municipales,Paseo Venezuela 2,458.26,70 - Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63
Panteón de España,Instalaciones accesibles NO municipales,Calle Julian Gayarre 3,358.32,79 - Puerta de Granada,Avenida de Menéndez Pelayo nº 38
Parque Biológico de Madrid. Faunia,Instalaciones accesibles NO municipales,Avenida Comunidades 2,2700.73,221 - Pavones,Calle Hacienda de Pavones nº 342
Parque Deportivo Puerta de Hierro,Instalaciones accesibles NO municipales,Carretera De La Coruña  Kilómetro 7,2641.9,261 - Facultad Derecho,Avenida Complutense nº 23
