Place of interest,Type of place,Place address,BiciPARK station,BiciPARK address,Distance from parking in mts
Instituto de Educación Secundaria (IES) San Mateo,Instalaciones accesibles NO municipales,Calle Beneficencia 4,Bicipark Recuerdo,"Calle Hiedra, 26",5727.32
Parroquia Santa Eulalia de Mérida,Instalaciones accesibles NO municipales,Calle Pedroches 5,Bicipark Salamanca,Pl. del Marqués de Salamanca,5731.32
Centro de día y centro ocupacional para la atención al funcionamiento de personas con patología dual Pardo Valcarce,Instalaciones accesibles NO municipales,Calle Monasterio De Las Huelgas 15,Bicipark Orense,"Avenida General Perón, 27",5732.36
Sala de exposiciones Fundación MAPFRE Recoletos,Instalaciones accesibles NO municipales,Paseo Recoletos 23,Bicipark Recuerdo,"Calle Hiedra, 26",5739.19
Sede QuedaT.com Moratalaz,Instalaciones accesibles NO municipales,Calle Corregidor Alonso De Tobar 15,Bicipark Almagro,"Calle Almagro, 11",5747.6
Biblioteca Pública José Hierro (Usera),Instalaciones accesibles NO municipales,Avenida Rafaela Ybarra 43,Bicipark Almagro,"Calle Almagro, 11",5747.89
Colegio Público Jorge Guillén,Instalaciones accesibles NO municipales,Avenida El Ferrol 47,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",5749.73
Oficina de Tramitación del DNI y Pasaporte (Arganzuela),Instalaciones accesibles NO municipales,Paseo Virgen Del Puerto 47,Bicipark Orense,"Avenida General Perón, 27",5751.89
Colegio Mayor Santa Teresa de Jesús,Instalaciones accesibles NO municipales,Avenida Seneca 12,Bicipark Salamanca,Pl. del Marqués de Salamanca,5758.22
Parroquia Santa Eulalia de Mérida,Instalaciones accesibles NO municipales,Calle Pedroches 5,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",5761.18
Oficina de Empleo Barrio de la Concepción,Instalaciones accesibles NO municipales,Calle Virgen Del Puig 5,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5767.07
Instalación deportiva para mayores Concepción Arenal,Instalaciones accesibles NO municipales,Calle Javier Del Quinto 12 Está Ubicado Dentro Del Centro De Servicios Sociales “Concepción Arenal”,Bicipark Salamanca,Pl. del Marqués de Salamanca,5770.27
Centro de día Funprodami,Instalaciones accesibles NO municipales,Calle Garcia Miranda 4,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",5772.85
Museo Nacional de Ciencias Naturales,Instalaciones accesibles NO municipales,Calle Jose Gutierrez Abascal 2,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5782.84
