,Place of interest,Postal code,Place address,place_lat,place_long
230,Intercambiador de transporte. Príncipe Pío,28008,Paseo Florida 2,40.42104912150731,-3.7205417760154664
231,Intercambiador de transporte. Puerta del Sol,28013,Intercambiador Puerta Del Sol,40.416770430492726,-3.7028822898409897
232,Jardines del Campo del Moro,28005,Paseo Virgen Del Puerto En Las Proximidades De La Glorieta De San Vicente,40.41898630733354,-3.719976836914711
233,La Casa Encendida de la Fundación Montemadrid,28012,Ronda Valencia 2,40.40596221830597,-3.6997720739017033
234,La Neomudéjar,28007,Calle Antonio Nebrija  Sin Número,40.40472042747244,-3.6836217248988037
235,Mercado de San Miguel,28005,Plaza San Miguel,40.415691942280155,-3.7092982693030185
236,"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación. Sede Palacio de Santa Cruz",28012,Plaza Provincia 1,40.41469396807194,-3.7060229025843374
237,Ministerio de Defensa. Oficina de asistencia en materia de registro,28046,Paseo Castellana 109,40.45551485327102,-3.6909412593195112
238,Ministerio de Política Territorial. Delegación del Gobierno en Madrid. Oficina de asistencia en materia de registro,28010,Calle Garcia De Paredes 65,40.436658193117246,-3.6920757943233444
239,Ministerio de Sanidad. Oficina de información,28014,Paseo Prado 18 Planta Baja (Esquina Con Calle Lope De Vega) - 20,40.41372148551758,-3.6940377260440544
240,Ministerio del Interior. Oficina de asistencia en materia de registro,28010,Calle Amador De Los Rios 7,40.42744034262133,-3.6913494112390763
241,Movistar Academy Magariños,28006,Calle Serrano 129,40.44252221660984,-3.6860962265452724
242,Museo ABC,28015,Calle Amaniel 29 -31,40.42741121610518,-3.709539260414957
243,Museo Arqueológico Nacional,28001,Calle Serrano 13,40.4232789604228,-3.6884121235090532
244,Museo Casa de la Moneda,28028,Calle Doctor Esquerdo 36,40.42260021542579,-3.669139860245996
245,Museo Los Caños del Peral. Estación de Metro Ópera,28013,Plaza Isabel Ii 1,40.41775560280743,-3.709202070089538
246,Museo Lázaro Galdiano,28006,Calle Serrano 122,40.43675593917329,-3.6861820403705816
247,Museo Nacional Centro de Arte Reina Sofía (MNCARS),28012,Calle Santa Isabel 52,40.40864029339671,-3.6939504103293244
248,Museo Nacional Thyssen-Bornemisza,28014,Paseo Prado 8,40.41601631762229,-3.694738346891257
249,Museo Nacional de Antropología,28014,Calle Alfonso Xii 68,40.407887537677716,-3.688862923660605
250,Museo Nacional de Ciencias Naturales,28006,Calle Jose Gutierrez Abascal 2,40.44042600324054,-3.690212174964136
251,Museo Naval,28014,Paseo Prado 3,40.417817776538435,-3.6927096854547727
252,Museo Postal y Telegráfico,28023,Calle Tapia De Casariego 6,40.46772394620028,-3.7690769512163045
253,Museo Tiflológico,28020,Calle La Coruña 18,40.45525267846033,-3.700169379369277
254,Museo de América,28040,Avenida Reyes Catolicos 6,40.43793725485899,-3.7218544182655786
255,Museo de Historia de la Comunidad Judía de Madrid,28010,Calle Balmes 3,40.43543567370733,-3.7000203622984
256,Museo de Mineralogía,28049,Calle Francisco Tomas Y Valiente 7 Facultad De Ciencias - Departamento Geología Y Geoquímica,40.54537941407227,-3.6951833197962536
257,Museo de la Catedral de la Almudena,28013,Calle Bailen 10,40.4155496711662,-3.7136674233151394
258,Museo de la Real Academia de Bellas Artes de San Fernando,28014,Calle Alcala 13,40.4176555144213,-3.7006500629589394
259,Museo del Ferrocarril de Madrid,28045,Paseo Delicias 61,40.40029003332906,-3.6938050319544646
260,Museo del Prado,28014,Paseo Prado,40.41398191337691,-3.692164652993688
261,Museo del Romanticismo,28004,Calle San Mateo 13,40.42585510296794,-3.6987835425963063
262,Museo del Traje. Centro de Investigación del Patrimonio Etnológico (CIPE),28040,Avenida Juan De Herrera 2,40.439664788611644,-3.727822373257623
263,Norte Joven Fuencarral,28029,Calle Ribadavia 20,40.472483367188964,-3.705094245869061
264,Numen centro de atención integral,28027,Calle Tabatinga 11 Planta Baja,40.44417122224278,-3.632878961676391
265,Oficina Joven TIVE - Moncloa,28015,Calle Fernando El Catolico 88,40.43442736874463,-3.717814046077588
266,Oficina de Correos. Oficina Principal. Paseo del Prado,28014,Paseo Prado 1,40.41854475379762,-3.6925831204366806
267,Oficina de Correos. Sucursal 01. Calle Villanueva,28001,Calle Villanueva 30,40.42229570582968,-3.685031222943612
268,Oficina de Correos. Sucursal 02. Calle Luis Vives,28002,Calle Luis Vives 12,40.44416878584919,-3.6760049588552763
269,Oficina de Correos. Sucursal 03. Calle Maudes,28003,Calle Maudes 39,40.44550988114284,-3.703715639815907
270,Oficina de Correos. Sucursal 04. Calle General Ricardos,28025,Calle General Ricardos 212,40.385491074895796,-3.7377041871046353
271,Oficina de Correos. Sucursal 05. Carrera de San Francisco,28005,Carrera San Francisco 13,40.41064690816609,-3.71326523335803
272,Oficina de Correos. Sucursal 06. Calle Claudio Coello,28006,Calle Claudio Coello 100,40.433514379458366,-3.6854116299311532
273,Oficina de Correos. Sucursal 07. Calle Palos de la Frontera,28012,Calle Palos De La Frontera 6 Y 10,40.4026769418955,-3.699922592201462
274,Oficina de Correos. Sucursal 09. Calle Mártires Concepcionistas,28006,Calle Martires Concepcionistas 21,40.429178108197554,-3.6707043944326423
275,Oficina de Correos. Sucursal 10. Calle Alburquerque,28010,Calle Alburquerque 2,40.43105607085537,-3.7027868433305215
276,"Oficina de Correos. Sucursal 102. Avenida Ensanche de Vallecas, 106-108",28051,Avenida Ensanche De Vallecas 106,40.36101732172466,-3.595269711097358
277,Oficina de Correos. Sucursal 13. Avenida América,28002,Avenida América 3,40.43802825312316,-3.677261878974946
278,Oficina de Correos. Sucursal 15. Calle Jacinto Verdaguer,28019,Calle Jacinto Verdaguer 4,40.39632813120035,-3.714232582817688
279,Oficina de Correos. Sucursal 18. Calle Pizarro,28004,Calle Pizarro 17,40.423388685598994,-3.7057453118624726
280,Oficina de Correos. Sucursal 19. Calle Chile,28016,Calle Chile 4,40.45549377530472,-3.675966310011709
281,Oficina de Correos. Sucursal 20. Calle Alcalde López Casero,28027,Calle Alcalde Lopez Casero 3,40.43254292663972,-3.65562126933923
282,Oficina de Correos. Sucursal 21. Calle Antonio Arias,28009,Calle Antonio Arias 2,40.41770973340183,-3.6716242209111143
283,Oficina de Correos. Sucursal 24. Plaza Párroco Luis Calleja,28022,Plaza Parroco Luis Calleja 12,40.44481238937044,-3.6116243178327765
284,Oficina de Correos. Sucursal 25. Calle Mariano Fernández,28039,Calle Mariano Fernandez 1,40.456036880513324,-3.702976306097833
285,Oficina de Correos. Sucursal 26. Calle Longares,28022,Calle Longares 30,40.42936538178852,-3.6094447060053985
286,Oficina de Correos. Sucursal 27. Calle Dobla,28054,Calle Dobla 5,40.37290649477108,-3.7403628652825907
287,Oficina de Correos. Sucursal 31. Calle Islas Palaos,28034,Calle Islas Palaos 30,40.49758178029607,-3.686383144831721
288,Oficina de Correos. Sucursal 32. Plaza Rogelio Enríquez,28048,Plaza Rogelio Enriquez 5,40.518981561490214,-3.776885315898705
289,Oficina de Correos. Sucursal 33. Calle Caroli,28023,Calle Caroli 10,40.45856528825536,-3.7847691023498133
290,Oficina de Correos. Sucursal 35. Hermanos García Noblejas,28037,Calle Hermanos Garcia Noblejas 30,40.43439348666636,-3.6357626174269013
291,Oficina de Correos. Sucursal 36. Calle Orense,28020,Calle Julias Besteiro  Esquina San Germán,40.45616701557968,-3.6948634973218035
292,Oficina de Correos. Sucursal 37. Calle Marqués de Corbera,28017,Avenida Marques De Corbera 27,40.42446104513565,-3.6540081882328206
293,Oficina de Correos. Sucursal 38. Calle Sierra de Gador,28031,Calle Sierra Gador 50,40.38051334670954,-3.6237027609559447
294,Oficina de Correos. Sucursal 39. Calle Arroyo de la Media Legua,28030,Calle Arroyo De La Media Legua 56,40.410116832157726,-3.6556260950915007
295,Oficina de Correos. Sucursal 40. Calle Tellez,28007,Calle Tellez 27,40.40214507889863,-3.6788229825703045
296,Oficina de Correos. Sucursal 41. Calle Sáhara,28041,Calle Sahara 42 Y 44,40.35492358950809,-3.6921377080816002
297,Oficina de Correos. Sucursal 42. Centro Comercial La Vaguada,28029,Avenida Monforte De Lemos 36,40.47903297218874,-3.7082641886598307
298,Oficina de Correos. Sucursal 44. Calle Padre Rubio,28029,Calle Padre Rubio 43,40.470947736229036,-3.6938673337968386
299,Oficina de Correos. Sucursal 45. Avenida Valladolid,28008,Avenida Valladolid 39,40.42829328509926,-3.7293476314297576
300,Oficina de Correos. Sucursal 46. Calle Guzmán el Bueno,28003,Calle Guzman El Bueno 86,40.439892564074825,-3.7126494705098794
301,Oficina de Correos. Sucursal 47. Calle Mar Caspio,28033,Calle Mar Caspio 10,40.473095977217504,-3.6435145549430854
302,Oficina de Correos. Sucursal 49. Calle Condesa Vega del Pozo,28032,Calle Condesa Vega Del Pozo 29 Y 31,40.40325111277619,-3.6061438215013597
303,Oficina de Correos. Sucursal 50. Avenida Padre Piquer,28024,Avenida Padre Piquer 13,40.394081623478144,-3.7673907712487185
304,Oficina de Correos. Sucursal 51. Calle Virgen de Aránzazu,28034,Calle Virgen De Aranzazu 31,40.4871356977373,-3.6896596801670634
305,Oficina de Correos. Sucursal 52. Calle Monte Olivetti,28038,Calle Monte Oliveti 29,40.39776621323686,-3.6665122141546047
306,Oficina de Correos. Sucursal 53. Calle Conde de Peñalver,28006,Calle Conde De Peñalver 19 Bis,40.426613479485574,-3.6757798786868143
307,Oficina de Correos. Sucursal 54. Calle Cardenal Herrera Oria,28035,Avenida Cardenal Herrera Oria 241,40.481446670155364,-3.7193176288388594
308,Oficina de Correos. Sucursal 56. Calle Carlina,28011,Calle Carlina 8,40.40465597246432,-3.7512476775134034
309,Oficina de Correos. Sucursal 57. Plaza Movimiento Ciudadano,28041,Plaza Movimiento Ciudadano 1,40.37053616654782,-3.7082003347653036
