Place of interest,Type of place,Place address,Distance from parking in mts,BiciPARK station,BiciPARK address,Spots available
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 8 Villaverde,Instalaciones accesibles NO municipales,Avenida Real De Pinto 7 Y 9,16560.12,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Centro de día y centro de rehabilitación Fundación Manantial para personas con trastorno mental grave de Barajas,Instalaciones accesibles NO municipales,Plaza Hermanos Falco Y Alvarez De Toledo 1,16571.17,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Centro ocupacional y residencia Fundación ALAS Madrid,Instalaciones accesibles NO municipales,Calle Encomienda De Palacios 235,16574.63,Bicipark Aviación,Parking Aviación Española,10
Oficina de Correos. Sucursal 61. Camino Hormigueras,Instalaciones accesibles NO municipales,Camino Hormigueras 169,16631.65,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Oficina de Correos. Sucursal 61. Camino Hormigueras,Instalaciones accesibles NO municipales,Camino Hormigueras 169,16642.75,Bicipark Aviación,Parking Aviación Española,10
Colegio Comunidad Infantil Villaverde,Instalaciones accesibles NO municipales,Calle Villastar 10,16644.17,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Biblioteca Pública Antonio Mingote (Latina),Instalaciones accesibles NO municipales,Calle Rafael Finat 51,16675.06,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Instituto de Educación Secundaria (IES) Antonio Machado,Instalaciones accesibles NO municipales,Calle Alfonso Fernandez 25,16702.53,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Oficina de Correos. Sucursal 31. Calle Islas Palaos,Instalaciones accesibles NO municipales,Calle Islas Palaos 30,16707.79,Bicipark Aviación,Parking Aviación Española,10
Oficina de Correos. Sucursal 49. Calle Condesa Vega del Pozo,Instalaciones accesibles NO municipales,Calle Condesa Vega Del Pozo 29 Y 31,16792.65,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Colegio Público Fontarrón,Instalaciones accesibles NO municipales,Calle Arroyo Fontarron 24,16796.22,Bicipark Aviación,Parking Aviación Española,10
